Country,Year,Literacy rate,Source
Afghanistan,2015,38.17,World Bank (WDI)
Afghanistan,2011,31.74,World Bank (WDI)
Afghanistan,1979,18.16,World Bank (WDI)
Albania,2015,97.55,World Bank (WDI)
Albania,2012,97.25,World Bank (WDI)
Albania,2011,96.85,World Bank (WDI)
Albania,2008,95.94,World Bank (WDI)
Albania,2001,98.71,World Bank (WDI)
Algeria,2015,79.61,World Bank (WDI)
Algeria,2008,75.14,World Bank (WDI)
Algeria,2006,72.65,World Bank (WDI)
Algeria,2002,69.87,World Bank (WDI)
Algeria,1987,49.63,World Bank (WDI)
American Samoa,1980,97.34,World Bank (WDI)
Andorra,2011,100.00,CIA World Factbook (2016)
Angola,2015,71.16,World Bank (WDI)
Angola,2014,70.99,World Bank (WDI)
Angola,2001,67.41,World Bank (WDI)
Anguilla,1984,95.00,CIA World Factbook (2016)
Antigua and Barbuda,2014,98.95,World Bank (WDI)
Antigua and Barbuda,2001,98.95,World Bank (WDI)
Arab World,2010,77.36,World Bank (WDI)
Arab World,2000,66.01,World Bank (WDI)
Arab World,1990,54.59,World Bank (WDI)
Argentina,2015,98.09,World Bank (WDI)
Argentina,2014,98.03,World Bank (WDI)
Argentina,2001,97.19,World Bank (WDI)
Argentina,1991,96.13,World Bank (WDI)
Argentina,1980,93.91,World Bank (WDI)
Argentina,1979,94.20,OxLAD
Argentina,1970,93.00,OxLAD
Argentina,1960,91.40,OxLAD
Argentina,1950,87.60,OxLAD
Argentina,1940,81.70,OxLAD
Argentina,1930,74.90,OxLAD
Argentina,1920,68.20,OxLAD
Argentina,1910,60.40,OxLAD
Argentina,1900,51.30,OxLAD
Armenia,2015,99.77,World Bank (WDI)
Armenia,2011,99.74,World Bank (WDI)
Armenia,2001,99.40,World Bank (WDI)
Armenia,1989,98.75,World Bank (WDI)
Aruba,2015,97.52,World Bank (WDI)
Aruba,2010,96.82,World Bank (WDI)
Aruba,2000,97.29,World Bank (WDI)
Australia,2003,99.00,CIA World Factbook (2016)
Austria,2011,98.00,CIA World Factbook (2016)
Azerbaijan,2015,99.81,World Bank (WDI)
Azerbaijan,2014,99.79,World Bank (WDI)
Azerbaijan,2013,99.79,World Bank (WDI)
